ID,RET
418595,False
418596,False
418597,True
418598,True
418599,False
418600,False
418601,False
418602,False
418603,False
418604,True
418605,False
418606,True
418607,False
418608,False
418609,True
418610,True
418611,False
418612,True
418613,False
418614,False
418615,False
418616,True
418617,False
418618,False
418619,False
418620,True
418621,False
418622,True
418623,False
418624,False
418625,False
418626,False
418627,True
418628,False
418629,False
418630,False
418631,True
418632,False
418633,True
418634,False
418635,False
418636,False
418637,True
418638,False
418639,False
418640,False
418641,True
418642,True
418643,True
418644,False
418645,True
418646,True
418647,False
418648,True
418649,True
418650,True
418651,True
418652,True
418653,False
418654,True
418655,False
418656,True
418657,False
418658,True
418659,True
418660,False
418661,True
418662,True
418663,True
418664,False
418665,True
418666,False
418667,False
418668,True
418669,True
418670,True
418671,True
418672,False
418673,False
418674,True
418675,False
418676,False
418677,True
418678,True
418679,False
418680,True
418681,True
418682,True
418683,False
418684,False
418685,False
418686,True
418687,False
418688,False
418689,False
418690,False
418691,False
418692,False
418693,True
418694,False
418695,False
418696,True
418697,True
418698,True
418699,True
418700,False
418701,False
418702,True
418703,False
418704,True
418705,False
418706,False
418707,True
418708,False
418709,False
418710,False
418711,True
418712,False
418713,True
418714,False
418715,False
418716,False
418717,False
418718,False
418719,False
418720,True
418721,True
418722,False
418723,True
418724,False
418725,True
418726,True
418727,True
418728,True
418729,False
418730,False
418731,False
418732,False
418733,False
418734,True
418735,False
418736,True
418737,True
418738,False
418739,False
418740,False
418741,False
418742,False
418743,True
418744,False
418745,True
418746,True
418747,False
418748,True
418749,True
418750,True
418751,False
418752,False
418753,False
418754,True
418755,False
418756,True
418757,False
418758,True
418759,True
418760,False
418761,True
418762,True
418763,False
418764,False
418765,True
418766,True
418767,True
418768,False
418769,True
418770,True
418771,True
418772,False
418773,True
418774,False
418775,True
418776,False
418777,True
418778,False
418779,False
418780,False
418781,True
418782,True
418783,False
418784,False
418785,True
418786,False
418787,False
418788,False
418789,True
418790,False
418791,False
418792,True
418793,False
418794,True
418795,False
418796,True
418797,False
418798,False
418799,False
418800,False
418801,False
418802,False
418803,True
418804,False
418805,False
418806,False
418807,True
418808,True
418809,False
418810,False
418811,True
418812,False
418813,True
418814,False
418815,True
418816,True
418817,False
418818,True
418819,True
418820,True
418821,True
418822,False
418823,True
418824,False
418825,False
418826,True
418827,False
418828,False
418829,False
418830,True
418831,False
418832,False
418833,True
418834,False
418835,True
418836,True
418837,True
418838,False
418839,False
418840,True
418841,True
418842,False
418843,True
418844,False
418845,True
418846,False
418847,False
418848,True
418849,False
418850,True
418851,True
418852,True
418853,False
418854,False
418855,True
418856,True
418857,True
418858,False
418859,False
418860,False
418861,False
418862,False
418863,False
418864,False
418865,True
418866,False
418867,False
418868,False
418869,False
418870,False
418871,False
418872,False
418873,True
418874,True
418875,False
418876,False
418877,True
418878,False
418879,False
418880,True
418881,True
418882,False
418883,False
418884,False
418885,True
418886,False
418887,False
418888,True
418889,True
418890,False
418891,False
418892,False
418893,True
418894,True
418895,False
418896,False
418897,False
418898,False
418899,False
418900,False
418901,True
418902,False
418903,True
418904,False
418905,True
418906,False
418907,False
418908,True
418909,False
418910,True
418911,False
418912,False
418913,True
418914,False
418915,True
418916,True
418917,True
418918,False
418919,True
418920,True
418921,False
418922,False
418923,False
418924,False
418925,False
418926,True
418927,False
418928,True
418929,True
418930,False
418931,True
418932,False
418933,True
418934,False
418935,True
418936,True
418937,False
418938,True
418939,False
418940,True
418941,False
418942,True
418943,True
418944,False
418945,False
418946,False
418947,False
418948,True
418949,True
418950,True
418951,False
418952,False
418953,False
418954,False
418955,False
418956,True
418957,False
418958,True
418959,True
418960,True
418961,True
418962,False
418963,False
418964,False
418965,False
418966,False
418967,False
418968,True
418969,True
418970,False
418971,False
418972,True
418973,False
418974,True
418975,False
418976,False
418977,False
418978,False
418979,False
418980,True
418981,False
418982,False
418983,True
418984,True
418985,False
418986,False
418987,False
418988,True
418989,False
418990,True
418991,False
418992,False
418993,False
418994,True
418995,False
418996,False
418997,True
418998,True
418999,True
419000,False
419001,False
419002,True
419003,False
419004,True
419005,False
419006,False
419007,True
419008,True
419009,False
419010,False
419011,True
419012,False
419013,False
419014,True
419015,False
419016,True
419017,False
419018,True
419019,True
419020,False
419021,False
419022,True
419023,False
419024,True
419025,True
419026,False
419027,True
419028,False
419029,True
419030,False
419031,True
419032,False
419033,True
419034,False
419035,True
419036,False
419037,True
419038,True
419039,False
419040,False
419041,False
419042,True
419043,True
419044,True
419045,True
419046,False
419047,False
419048,True
419049,False
419050,False
419051,False
419052,True
419053,False
419054,True
419055,True
419056,False
419057,True
419058,False
419059,False
419060,False
419061,True
419062,False
419063,False
419064,False
419065,True
419066,False
419067,False
419068,True
419069,True
419070,True
419071,False
419072,False
419073,False
419074,True
419075,False
419076,False
419077,False
419078,True
419079,True
419080,True
419081,False
419082,False
419083,True
419084,False
419085,True
419086,False
419087,True
419088,False
419089,False
419090,False
419091,True
419092,False
419093,True
419094,False
419095,True
419096,True
419097,False
419098,False
419099,False
419100,False
419101,True
419102,False
419103,True
419104,True
419105,False
419106,False
419107,True
419108,True
419109,True
419110,True
419111,True
419112,False
419113,True
419114,True
419115,False
419116,False
419117,True
419118,True
419119,False
419120,True
419121,True
419122,True
419123,True
419124,True
419125,False
419126,False
419127,False
419128,False
419129,False
419130,True
419131,True
419132,False
419133,False
419134,False
419135,False
419136,True
419137,True
419138,True
419139,False
419140,False
419141,False
419142,False
419143,False
419144,True
419145,False
419146,False
419147,False
419148,True
